Card ID,Title,Name,Backstory,Category,Condition Description,Digital Challenges,Assistive Technologies,Design Considerations,AI Prompt,Clinical Examples,AI Prompt URL
11,Deaf,Angela,"Angela, 34, Black, rents an apartment with her partner. Works remotely as a UX researcher and uses ASL as her primary language.",Auditory,"Deaf users rely on sign-language interpreters, captions, transcripts, and visual alerts to access information that hearing users receive passively and automatically. Audio content without a visual equivalent is simply inaccessible, including for those who identify as part of the Deaf community.","Videos without captions, audio alerts without visual equivalents, and voice-only verification steps exclude Deaf users completely. Meeting transcripts that are unavailable or delayed remove access to real-time information. When critical product information is delivered through audio alone, there is no workaround. The content is inaccessible, not the user.","Captions and subtitles, sign language interpretation tools, visual alert systems","Never rely on audio alone. Every alert, confirmation, and notification needs a persistent visual equivalent. Ensure all video content has synchronized captions and a downloadable transcript. Visual alerts should appear inline, not just as sound.","You are designing and building a digital product for Deaf users, including those who identify as part of the Deaf community. Review the interface and: Identify every instance where audio is the sole means of conveying information. Ensure captions are available, accurate, and synchronized for all video and audio content. Replace audio-only alerts with persistent visual equivalents. Eliminate voice-only verification or authentication steps. Ensure meeting and video transcripts are available, not just captions. Validate WCAG 2.2 AA compliance for 1.2.1, 1.2.2, 1.2.4, and 1.4.2. Return: 1. Audio-only barriers and visual alternatives 2. Caption and transcript recommendations 3. Visual alert patterns 4. Engineering fixes for audio-dependent interactions","Congenital deafness, sensorineural hearing loss, Usher syndrome",https://fyvr.net/prompts.html#deaf
12,Hard of Hearing,Priya,"Priya, 52, South Asian, owns a home in a suburban neighborhood. A self-employed accountant who wears hearing aids and manages her own books.",Auditory,"Partial hearing loss does not make audio content reliably accessible. Background noise, compression artifacts, or fast speech can make audio unintelligible even with hearing aids. Captions, adjustable audio controls, and visual reinforcement for alerts ensure content remains accessible across all hearing levels.","Auto-played audio at fixed volume, captions that are absent or inaccurate, and notification systems that rely on sound alone all create barriers. Meeting transcripts that are unavailable or delayed compound the problem in real-time collaboration. Hard of hearing users may miss time-sensitive alerts or be unable to follow audio content without reliable visual alternatives.","Hearing aids, captions and subtitles, amplified audio controls","Pair every audio notification with a visible inline alert. Ensure volume controls are keyboard accessible and clearly labeled. Captions must be accurate and synchronized, not auto-generated without review. Never use sound as the only confirmation of an action.","You are designing and building a digital product for hard of hearing users. Review the interface and: Identify audio content that lacks accurate captions or transcripts. Ensure volume controls are keyboard accessible and clearly labeled. Replace sound-only notifications with visible, persistent visual alerts. Provide transcripts for all meeting and collaborative audio content. Validate WCAG 2.2 AA compliance for 1.2.1, 1.2.2, and 1.4.2. Return: 1. Audio accessibility gaps 2. Caption and transcript improvements 3. Notification design recommendations 4. Engineering patterns for audio-independent interactions","Age-related hearing loss (presbycusis), noise-induced hearing loss, otosclerosis",https://fyvr.net/prompts.html#hard-of-hearing
36,Noisy Environment,Darius,"Darius, 27, Black, lives in a shared apartment near a busy transit hub. Commutes daily and manages his freelance invoices on his phone between stops.",Auditory,"A loud café, an open-plan office, or a crowded transit system makes audio-dependent interfaces unusable regardless of hearing ability. Alerts, confirmations, and instructional audio become inaccessible the moment the environment competes with the device speaker.","Audio confirmations, voice prompts, and sound-only alerts become useless in noisy environments. Meeting transcripts are equally inaccessible when someone cannot reliably hear the audio feed. Users who cannot wear headphones or raise volume without disturbing others need every critical interaction to be fully operable and understandable through visual feedback alone.","Captions and subtitles, visual notification systems, silent or vibration mode","Design all critical feedback to be fully readable without sound. Use inline alerts, toast messages, and visible status indicators to communicate outcomes. Never assume audio confirmations are heard when a device speaker competes with the environment.","You are designing and building a digital product for users in environments where audio cannot be relied upon. Review the interface and: Identify every interaction that depends on audio feedback or sound alerts. Ensure all confirmations, errors, and status updates are conveyed visually. Provide captions and transcripts for all audio and video content. Support silent or vibration notification modes. Validate WCAG 2.2 AA compliance for 1.2.1, 1.2.2, and 1.4.2. Return: 1. Audio-dependent interaction risks 2. Visual feedback and alert patterns 3. Caption and transcript recommendations 4. Engineering fixes for sound-reliant flows","Situational context, not a diagnosis. Common in open-plan workplaces, transit, and outdoor settings.",https://fyvr.net/prompts.html#noisy-environment
17,Memory Loss,Rosario,"Rosario, 71, Latina, lives alone in a senior housing community. Her daughter helps with finances, but Rosario wants to manage her own accounts independently.",Cognitive,"Forgetting where a task was left, what information was already entered, or how a previous step was completed is a daily reality. Autosave, progress indicators, session history, and confirmation summaries remove the need to hold process state in working memory.","Sessions that expire without saving, forms that clear on error, and workflows with no visible progress all require users to hold context in memory. For people with memory loss, losing that context mid-task often means starting over, not continuing.","Reminder and note-taking apps, password managers, text-to-speech",Show progress at all times using step indicators. Pre-fill known data to reduce re-entry. Autosave throughout and surface a clear summary of previously entered information before final submission so nothing needs to be held in memory.,"You are designing and building a digital product for people with memory loss. Review the interface and: Identify steps that require users to recall information from earlier in the flow. Ensure autosave is present throughout all multi-step workflows. Provide visible progress indicators showing where the user is and what remains. Avoid session timeouts that clear form data without warning. Validate WCAG 2.2 AA compliance for 3.3.1, 3.3.4, and 3.3.7. Return: 1. Memory-dependent interaction risks 2. Autosave and progress indicator patterns 3. Session and data persistence recommendations 4. Engineering implementation for re-entry minimization","Mild cognitive impairment, early-stage Alzheimer's disease, vascular dementia, traumatic brain injury",https://fyvr.net/prompts.html#memory-loss
18,Learning Disability,Tomasz,"Tomasz, 19, white, lives with his parents in a rural area. Recently started a part-time job and is setting up direct deposit for the first time.",Cognitive,"Learning disabilities span a wide range of conditions affecting reading, numeracy, sequencing, or processing speed. Interfaces that assume a standard pace, use jargon without explanation, or require multi-step reasoning without visual support can make routine financial tasks feel insurmountable.","Unexplained financial terminology, multi-column layouts, and processes requiring users to track several steps simultaneously all increase difficulty. People with learning disabilities benefit from one task at a time, plain language, and visual cues that reinforce what to do next.","Text-to-speech, symbol-based communication tools, screen magnifiers",Break tasks into single steps with one question or action per screen. Use short field labels with helper text for context. Never rely on layout alone to convey meaning and avoid timed sessions entirely.,"You are designing and building a digital product for people with learning disabilities. Review the interface and: Identify financial terminology lacking plain language explanation. Break multi-step processes into single, clearly sequenced tasks. Provide visual cues and icons that reinforce written instructions. Support adjustable reading pace with no timed interactions. Validate WCAG 2.2 AA compliance for 3.1.3, 3.1.5, 3.3.1, and 3.3.2. Return: 1. Language and complexity barriers 2. Step sequencing and layout improvements 3. Plain language and visual support recommendations 4. Engineering patterns for paced, linear task flows","Dyscalculia, processing speed disorder, intellectual disability, non-verbal learning disability",https://fyvr.net/prompts.html#learning-disability
19,Brain Fog,Pam,"Pam, 38, Middle Eastern, rents a home with her two children. Managing Long COVID symptoms while running a small online resale business from home.",Cognitive,"Brain fog is a symptom, not a diagnosis, commonly associated with Long COVID, fibromyalgia, autoimmune conditions, and chronic fatigue. It affects processing speed, word retrieval, and the ability to hold a sequence of steps in mind. Clarity, brevity, and forgiveness in design are essential.","Complex navigation, dense instructions, and interfaces that require remembering previous steps without visual reference all compound the effects of brain fog. On difficult days, a task that was manageable last week may feel completely inaccessible without meaningful design support.","Text-to-speech, reminder apps, screen magnifiers","Minimize decisions per screen. Use progress indicators to show task position, autosave to remove fear of data loss, and plain language throughout. Avoid timed interactions and sessions that cannot be paused and resumed.","You are designing and building a digital product for people experiencing brain fog. Review the interface and: Identify flows that require sustained concentration or multi-step memory. Simplify navigation to reduce decisions required per screen. Use plain, direct language with no jargon. Support autosave and allow users to resume incomplete tasks easily. Validate WCAG 2.2 AA compliance for 2.2.1, 3.1.5, and 3.3.1. Return: 1. Cognitive load and complexity risks 2. Navigation simplification recommendations 3. Autosave and task resumption patterns 4. Engineering fixes for memory-dependent interactions","Long COVID, cancer treatment, pregnancy/menopause, lack of sleep",https://fyvr.net/prompts.html#brain-fog
33,Cognitive Overload,Sam,"Sam, 45, white, owns a condo and works two jobs. Files taxes independently but finds dense financial interfaces difficult to navigate under stress.",Cognitive,"When information density exceeds processing capacity due to stress, complexity, or accumulated mental effort, decision-making degrades and errors increase. This is an experience that intersects with many disabilities and life contexts, and it signals where interface simplification creates the widest possible benefit.","Too many options, long pages without clear hierarchy, and interfaces that surface all features at once overwhelm users before they can act. Cognitive overload leads to errors, abandoned tasks, and loss of confidence, particularly in high-stakes financial contexts where mistakes feel costly.","Screen readers, focus mode browser extensions, text-to-speech","Apply progressive disclosure so only relevant information appears at each step. Use expandable sections to collapse secondary content, clear headings to organize hierarchy, and plain action labels on all buttons and controls.","You are designing and building a digital product to reduce cognitive overload in high-stakes financial contexts. Review the interface and: Identify screens with excessive information density or too many simultaneous choices. Apply progressive disclosure to surface only what is needed at each step. Use clear visual hierarchy with headings, spacing, and grouping. Provide clear confirmation before irreversible actions. Validate WCAG 2.2 AA compliance for 1.3.1, 2.4.6, and 3.3.1. Return: 1. Information density and decision complexity risks 2. Progressive disclosure and hierarchy improvements 3. Error prevention and recovery patterns 4. Engineering recommendations for simplified layouts","Situational and intersectional. Associated with stress, ADHD, anxiety, and high-demand environments.",https://fyvr.net/prompts.html#cognitive-overload
26,Motion Sensitivity,Yuki,"Yuki, 31, Japanese American, rents a studio apartment. A graphic designer who experiences vestibular migraines and avoids animation-heavy interfaces when symptomatic.",Intersectional,"Scrolling, zooming, or animated interfaces can trigger dizziness, nausea, or disorientation. For people with vestibular disorders, migraine, or anxiety, motion in digital environments is not decorative. It can be a barrier that ends a session entirely.","Parallax scrolling, animated transitions, and auto-playing carousels can trigger immediate physical symptoms. When there is no way to pause, reduce, or disable motion, the only option is to leave. Interfaces that ignore prefers-reduced-motion make participation conditional on tolerating discomfort.","Reduced motion OS settings, screen readers, keyboard navigation",Respect the prefers-reduced-motion media query on all animated components. Replace motion-based transitions with instant state changes. Provide an in-product control to disable animations independently of operating system settings.,"You are designing and building a digital product for people with motion sensitivity. Review the interface and: Identify all animations, transitions, parallax effects, and auto-playing motion. Ensure prefers-reduced-motion disables or reduces all non-essential motion. Replace motion-based feedback with static visual alternatives. Avoid auto-playing carousels and looping animations. Validate WCAG 2.2 AA compliance for 2.3.3 and 2.2.2. Return: 1. Motion and animation risks 2. Reduced-motion implementation patterns 3. Static alternative feedback designs 4. Engineering fixes using prefers-reduced-motion","Vestibular migraine, benign paroxysmal positional vertigo (BPPV), labyrinthitis, anxiety disorders",https://fyvr.net/prompts.html#motion-sensitivity
27,Migraine Sensitivity,Ifeoma,"Ifeoma, 44, Nigerian British, owns her home with her husband. A nurse who manages chronic migraines and needs to complete financial tasks quickly between shifts.",Intersectional,"Bright screens, flashing elements, and high-contrast patterns can trigger or worsen migraine episodes. People managing migraines may need to limit screen time entirely during an attack, making quick, low-stimulation task completion essential.","Bright backgrounds, high-contrast flickering, and dense visual patterns can escalate a developing migraine or trigger one entirely. During an active episode, even brief screen exposure may be impossible. Tasks must be completable quickly, with low visual stimulation and no forced waiting.","Dark mode, reduced motion OS settings, screen dimming tools",Avoid bright white backgrounds and high-contrast strobing patterns. Support dark mode as a first-class option. Honor prefers-reduced-motion and ensure tasks can be completed in as few steps as possible during limited screen time.,"You are designing and building a digital product for people with migraine sensitivity. Review the interface and: Identify flashing content, flickering elements, and high-frequency visual patterns. Support dark mode and low-brightness display options. Minimize required steps for limited screen time. Ensure all motion respects prefers-reduced-motion. Validate WCAG 2.2 AA compliance for 2.3.1 and 2.3.3. Return: 1. Visual trigger risks 2. Dark mode and low-stimulation design patterns 3. Task efficiency improvements 4. Engineering fixes for flicker and high-contrast motion","Migraine with aura, chronic migraine, hemiplegic migraine, vestibular migraine",https://fyvr.net/prompts.html#migraine-sensitivity
28,Epilepsy,Marcus,"Marcus, 22, Black, lives in a college dorm on financial aid. Managing photosensitive epilepsy while navigating student loan and financial aid platforms independently for the first time.",Intersectional,"Flashing content and rapid visual transitions can trigger seizures in people with photosensitive epilepsy. Safe digital experiences require predictable, stable visuals with no strobing or high-frequency animation, even in subtle UI elements.","Flashing content, looping animations, and rapid visual transitions can trigger seizures without warning. Unlike most accessibility barriers, the consequence here is not frustration but physical harm. Interfaces that do not default to safe visual behavior put people with photosensitive epilepsy at direct risk.","Reduced motion OS settings, browser content blockers, keyboard navigation","Default all animations to off or minimal. Respect the prefers-reduced-motion media query as a safe starting state, not an opt-in. Never use flashing content, strobing effects, or rapidly cycling visuals anywhere in the interface.","You are designing and building a digital product safe for people with photosensitive epilepsy. Review the interface and: Identify content that flashes more than 3 times per second. Remove all strobing, flickering, or rapidly cycling visual elements. Apply prefers-reduced-motion as a default safe state. Test all animated components against WCAG photosensitivity thresholds. Validate WCAG 2.2 AA compliance for 2.3.1 and AAA 2.3.2. Return: 1. Seizure risk elements and frequency 2. Safe animation defaults 3. Testing methodology for photosensitive content 4. Engineering implementation for flash-safe UI","Photosensitive epilepsy, juvenile myoclonic epilepsy, Dravet syndrome",https://fyvr.net/prompts.html#epilepsy
